Iteration 88: x = -1.757071, y = -1.757071, f(x, y) = 25.286307
Iteration 89: x = -2.349628, y = -2.349628, f(x, y) = 42.759379
Iteration 90: x = -1.793454, y = -1.793454, f(x, y) = 21.039969
Iteration 91: x = -2.362630, y = -2.362630, f(x, y) = 44.165371
Iteration 92: x = -1.837932, y = -1.837932, f(x, y) = 16.259761
Iteration 93: x = -2.336010, y = -2.336010, f(x, y) = 41.203732
Iteration 94: x = -1.750510, y = -1.750510, f(x, y) = 26.064521
Iteration 95: x = -2.343815, y = -2.343815, f(x, y) = 42.105108
Iteration 96: x = -1.774653, y = -1.774653, f(x, y) = 23.213189
Iteration 97: x = -2.359956, y = -2.359956, f(x, y) = 43.882961
Iteration 98: x = -1.828517, y = -1.828517, f(x, y) = 17.215596
Iteration 99: x = -2.345343, y = -2.345343, f(x, y) = 42.278549
Iteration 100: x = -1.779528, y = -1.779528, f(x, y) = 22.644076
Iteration 101: x = -2.361473, y = -2.361473, f(x, y) = 44.043687
Iteration 102: x = -1.833844, y = -1.833844, f(x, y) = 16.670452
Iteration 103: x = -2.340296, y = -2.340296, f(x, y) = 41.701916
Iteration 104: x = -1.763611, y = -1.763611, f(x, y) = 24.512341
Iteration 105: x = -2.354361, y = -2.354361, f(x, y) = 43.280618
Iteration 106: x = -1.809262, y = -1.809262, f(x, y) = 19.270635
Iteration 107: x = -2.358339, y = -2.358339, f(x, y) = 43.710449
Iteration 108: x = -1.822890, y = -1.822890, f(x, y) = 17.803102
Iteration 109: x = -2.350001, y = -2.350001, f(x, y) = 42.800774
Iteration 110: x = -1.794682, y = -1.794682, f(x, y) = 20.900365
Iteration 111: x = -2.362508, y = -2.362508, f(x, y) = 44.152588
Iteration 112: x = -1.837500, y = -1.837500, f(x, y) = 16.302808
Iteration 113: x = -2.336479, y = -2.336479, f(x, y) = 41.258659
Iteration 114: x = -1.751926, y = -1.751926, f(x, y) = 25.896520
Iteration 115: x = -2.345160, y = -2.345160, f(x, y) = 42.257796
Iteration 116: x = -1.778941, y = -1.778941, f(x, y) = 22.712469
Iteration 117: x = -2.361321, y = -2.361321, f(x, y) = 44.027632
Iteration 118: x = -1.833308, y = -1.833308, f(x, y) = 16.724781
